Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,0402,1,RED_LED,
3V3LED1,0402,1,BLUE_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C20, C24, C26",0402,5,10uF,
"C10, C11, C27, C3, C39, C45, C5, C6, C8",0402,9,0.1uF,
"C13, C14",0402,2,11pF,
"C15, C38",0402,2,100nF,
C17,0402,1,47nF,
C18,0603,1,160pF,
"C2, C22, C28, C4, C7",0402,5,1uF,
C21,0603,1,10uF,
C23,0603,1,22uF,
"C25, C29",0402,2,4.7uF,
C30,CP_EIA-7360-38_Kemet-E,1,100uF,T52M1107M035C0100
"C33, C35, C37, C47, C49",1206,5,47uF,
C9,0402,1,10nF,
"CANRXLED1, SERVOLED1",0402,2,AMBER_LED,
"CANTXLED1, TXLED1",0402,2,GREEN_LED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
D3,SOT-353_SC-70-5,1,~,
D4,RCLAMP3346PQTNT,1,RCLAMP3346PQTNT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
J2,PinSocket_2x04_P2.54mm_Vertical,1,GPIO Breakout,
J3,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH0,
J4,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH1,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
JP1,SmallerSolderJP,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,DFE201210U-1R0M
L4,IND_SPM10065VT-3R3M-D,1,3.3uH,SPM10065VT-3R3M-D
Q1,SOT-723,1,"SSM3K15AMFV,L3F",
"R1, R14, R17, R18, R20, R3, R38",0402,7,10K,
"R10, R9",0603,2,60,
"R11, R12, R13",0402,3,5.1k,
R15,0402,1,14k,
R16,0402,1,56k,
R19,0402,1,113k,ERJ-2RKF1133X
"R2, R37, R4",0402,3,470,
R21,0402,1,2.2,
R22,0402,1,200k,
R23,0402,1,100k,
R24,0402,1,442k, ERJ-2RKF4423X 
"R25, R26, R27, R39",0402,4,1k,
R34,0402,1,18k,
R36,0402,1,1.5k,
"R40, R41",0402,2,165R, RK73H1ETTP1650F 
R42,0603,1,5.1R,
R6,0402,1,499,AC0402FR-07499RL
R7,0402,1,3k,
R8,0402,1,0,
"TP1, TP10, TP2, TP9",TestPoint_Pad_D1.0mm,4,TestPoint,
"TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,5,TestPoint,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215ASTRT,
U6,SiC437BEDT1GE3,1,SiC437AED-T1,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
